sku;tipo;nombre;precioBase;extra;etiquetas
A001;APP;App Backend Pro;9.59;ANDROID;backend|angular|microservices|observability
A002;CURSO;Curso Testing Avanzado;19.11;55;pandas|graphql|testing
A003;EBOOK;Patrones Docker Esencial;2.03;343;docker|excel|backend
A004;APP;App DevOps Pro;8.41;WEB;devops|rest|pandas|data
A005;CURSO;Curso Kubernetes Avanzado;82.04;8;kubernetes|graphql|ml
A006;EBOOK;Patrones Security Esencial;10.72;340;security|devops|swift|mobile
A007;APP;App Microservices Pro;12.70;WEB;microservices|testing|logging|serverless
A008;CURSO;Curso Cloud Avanzado;57.72;32;cloud|sql|ux
A009;EBOOK;Patrones AWS Esencial;22.99;490;aws|docker|testing
A010;APP;App GCP Pro;9.91;IOS;gcp|kubernetes|swift
A011;CURSO;Curso Azure Avanzado;34.73;48;azure|kotlin|mobile|react
A012;EBOOK;Patrones React Esencial;24.45;193;react|logging|vue
A013;APP;App Angular Pro;2.45;IOS;clean-code|jwt|etl|angular
A014;CURSO;Curso Vue Avanzado;70.93;57;vue|ui|testing
A015;EBOOK;Patrones Python Esencial;29.17;530;python|react|spark|monitoring
A016;APP;App Data Pro;4.72;WEB;data|ddd|serverless|cloud
A017;CURSO;Curso SQL Avanzado;33.57;23;sql|pandas|graphql|spring
A018;EBOOK;Patrones NoSQL Esencial;13.66;261;nosql|linux|junit|security
A019;APP;App AI Pro;2.29;ANDROID;ai|docker|swift|serverless
A020;CURSO;Curso ML Avanzado;57.09;43;ml|logging|security
A021;EBOOK;Patrones Mobile Esencial;24.85;393;mobile|sql|graphql|aws
A022;APP;App Kotlin Pro;6.80;WEB;kotlin|linux|gcp|kubernetes
A023;CURSO;Curso Swift Avanzado;87.47;27;swift|kotlin|linux
A024;EBOOK;Patrones Spring Esencial;6.64;120;spring|backend|security|kotlin
A025;APP;App Hibernate Pro;13.17;IOS;hibernate|vue|spark
A026;CURSO;Curso GraphQL Avanzado;94.28;13;graphql|docker|linux|ansible
A027;EBOOK;Patrones REST Esencial;27.79;251;rest|aws|python|jenkins
A028;APP;App Serverless Pro;13.08;IOS;serverless|linux|logging
A029;CURSO;Curso Terraform Avanzado;71.40;53;terraform|refactoring|ddd|kotlin
A030;EBOOK;Patrones CI/CD Esencial;16.32;649;security|vue|angular|docker
A031;APP;App Git Pro;5.07;WEB;git|angular|java
A032;CURSO;Curso Jenkins Avanzado;16.31;48;jenkins|docker|testing
A033;EBOOK;Patrones Ansible Esencial;31.08;192;ansible|refactoring|ci-cd
A034;APP;App ETL Pro;3.21;ANDROID;etl|agile|terraform|web
A035;CURSO;Curso Spark Avanzado;46.22;14;spark|graphql|mobile
A036;EBOOK;Patrones Pandas Esencial;15.82;598;pandas|ddd|kubernetes
A037;APP;App Excel Pro;0.91;WEB;excel|kubernetes|vue|azure
A038;CURSO;Curso Design Patterns Avanzado;26.92;36;graphql|gcp|data
A039;EBOOK;Patrones Clean Code Esencial;17.18;197;clean-code|etl|kubernetes|junit
A040;APP;App DDD Pro;9.78;WEB;ddd|linux|vue
A041;CURSO;Curso Refactoring Avanzado;24.79;39;refactoring|spring|junit|aws
A042;EBOOK;Patrones OAuth Esencial;14.25;519;oauth|serverless|sql|graphql
A043;APP;App JWT Pro;10.44;WEB;jwt|azure|sql|react
A044;CURSO;Curso Monitoring Avanzado;96.21;45;monitoring|ai|junit
A045;EBOOK;Patrones Logging Esencial;2.74;608;logging|git|devops
A046;APP;App Observability Pro;12.76;ANDROID;observability|vue|spring
A047;CURSO;Curso Linux Avanzado;20.66;44;linux|excel|testing
A048;EBOOK;Patrones Networking Esencial;22.67;549;networking|react|refactoring|monitoring
A049;APP;App Agile Pro;4.71;IOS;agile|refactoring|ddd|nosql
A050;CURSO;Curso Java Avanzado;50.69;56;java|serverless|patterns
A051;EBOOK;Patrones Backend Esencial;35.94;222;backend|react|git
A052;APP;App Testing Pro;3.98;IOS;testing|kotlin|sql
A053;CURSO;Curso Docker Avanzado;24.03;42;docker|web|ddd|jenkins
A054;EBOOK;Patrones DevOps Esencial;1.26;426;devops|python|security
A055;APP;App Kubernetes Pro;13.34;WEB;kubernetes|sql|excel
A056;CURSO;Curso Security Avanzado;28.74;29;security|clean-code|python
A057;EBOOK;Patrones Microservices Esencial;18.68;377;microservices|clean-code|graphql
A058;APP;App Cloud Pro;12.43;ANDROID;cloud|networking|microservices
A059;CURSO;Curso AWS Avanzado;66.70;24;aws|rest|etl
A060;EBOOK;Patrones GCP Esencial;25.69;129;gcp|jwt|cloud
A061;APP;App Azure Pro;8.18;IOS;azure|microservices|testing
A062;CURSO;Curso React Avanzado;37.43;58;mobile|react|oauth
A063;EBOOK;Patrones Angular Esencial;9.72;225;angular|etl|hibernate|patterns
A064;APP;App Vue Pro;11.23;ANDROID;vue|gcp|hibernate
A065;CURSO;Curso Python Avanzado;12.20;55;python|hibernate|web|refactoring
A066;EBOOK;Patrones Data Esencial;31.23;374;data|agile|jwt|kubernetes
A067;APP;App SQL Pro;5.73;ANDROID;sql|azure|ui|serverless
A068;CURSO;Curso NoSQL Avanzado;41.11;60;nosql|backend|refactoring
A069;EBOOK;Patrones AI Esencial;7.75;456;ai|networking|data|mobile
A070;APP;App ML Pro;9.62;IOS;ml|security|python|gcp
A071;CURSO;Curso Mobile Avanzado;61.67;24;mobile|excel|graphql
A072;EBOOK;Patrones Kotlin Esencial;13.09;441;kotlin|git|security|swift
A073;APP;App Swift Pro;13.48;ANDROID;swift|monitoring|graphql|java
A074;CURSO;Curso Spring Avanzado;56.27;59;spring|graphql|docker
A075;EBOOK;Patrones Hibernate Esencial;34.20;458;hibernate|security|logging|nosql
A076;APP;App GraphQL Pro;7.60;WEB;graphql|spring|jwt|sql
A077;CURSO;Curso REST Avanzado;59.34;20;rest|swift|oauth|observability
A078;EBOOK;Patrones Serverless Esencial;32.59;428;serverless|ux|java|nosql
A079;APP;App Terraform Pro;4.30;IOS;terraform|rest|oauth|react
A080;CURSO;Curso CI/CD Avanzado;55.49;58;refactoring|devops|sql
A081;EBOOK;Patrones Git Esencial;19.03;463;git|linux|vue
A082;APP;App Jenkins Pro;10.09;ANDROID;jenkins|backend|testing
A083;CURSO;Curso Ansible Avanzado;31.78;38;ansible|hibernate|clean-code
A084;EBOOK;Patrones ETL Esencial;21.14;513;etl|vue|cloud|ddd
A003;EBOOK;Patrones Docker Esencial;2.03;343;docker|excel|backend
A086;CURSO;Curso Pandas Avanzado;56.09;11;pandas|serverless|microservices
A087;EBOOK;Patrones Excel Esencial;29.04;444;excel|ui|logging|git
A088;APP;App Design Patterns Pro;6.40;WEB;aws|observability|terraform|rest
A089;CURSO;Curso Clean Code Avanzado;33.06;23;networking|jenkins|ci-cd|clean-code
A090;EBOOK;Patrones DDD Esencial;9.36;570;ddd|sql|vue
A091;APP;App Refactoring Pro;4.07;IOS;refactoring|cloud|angular
A092;CURSO;Curso OAuth Avanzado;44.08;17;oauth|hibernate|ml
A093;EBOOK;Patrones JWT Esencial;19.98;545;jwt|ux|hibernate
A094;APP;App Monitoring Pro;5.84;WEB;monitoring|spark|swift
A095;CURSO;Curso Logging Avanzado;52.45;30;logging|swift|ux|hibernate
A096;EBOOK;Patrones Observability Esencial;19.83;345;observability|data|graphql|ci-cd
A097;APP;App Linux Pro;0.44;IOS;linux|aws|ux|serverless
A098;CURSO;Curso Networking Avanzado;91.84;47;networking|pandas|spark
A099;EBOOK;Patrones Agile Esencial;24.19;205;agile|serverless|gcp|junit
A100;APP;App Java Pro;3.90;IOS;java|ai|ml
